nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
13.0,63.0,7620.0,208.0,165.0,0.0428,0.0295,0.0288,1.32,0.9740000000000001,0.62,4.0,4.26,1.07,0.0,0.0,0.318,0.305,3.2,1.85,-2.91,18.2,31.1,0.0,0.0,9.77,7.03,0.461,1.57,1.75,0
14.0,57.0,7630.0,193.0,151.0,0.0707,0.0881,0.0691,1.34,1.09,0.589,4.0,4.47,1.13,0.0,0.0,0.276,0.264,3.4,2.12,-2.13,12.1,31.1,0.0,0.0,12.8,4.59,0.35200000000000004,1.7,1.1,0
18.0,72.1,9570.0,188.0,155.0,0.0037600000000000003,0.098,0.0856,1.53,1.15,0.575,5.0,5.71,1.17,0.0,0.0,0.25,0.24100000000000002,3.75,2.32,-3.08,12.5,26.2,11.1,0.0,11.7,7.22,0.301,1.73,1.4,0
21.0,193.0,14100.0,235.0,211.0,-0.0581,-0.0035700000000000007,-0.0202,0.917,0.9640000000000001,0.629,3.0,2.89,0.982,10.4,10.4,0.268,0.256,4.02,1.82,-2.4,44.1,13.6,24.5,5.45,6.2,21.0,0.408,1.7,1.77,0
25.0,191.0,14400.0,209.0,188.0,0.134,0.126,0.11199999999999999,1.25,1.11,0.583,7.0,9.48,1.43,0.0,0.0,0.22699999999999998,0.21899999999999997,4.25,2.69,-4.09,68.5,20.7,43.2,8.22,13.9,19.0,0.203,1.9,3.38,0
23.0,217.0,15600.0,230.0,213.0,-0.0245,0.0329,0.0142,0.875,1.0,0.631,3.0,2.81,0.9570000000000001,0.0,0.0,0.263,0.252,4.16,2.09,-3.02,44.1,13.6,31.4,5.31,6.2,22.0,0.434,1.66,1.99,0
19.0,155.0,12600.0,238.0,207.0,-0.0995,-0.0263,-0.0442,0.94,0.92,0.626,3.0,3.01,1.02,10.5,10.5,0.272,0.259,3.87,1.65,-2.8,31.0,13.7,17.5,5.43,6.2,20.1,0.376,1.76,1.16,0
13.0,150.0,10000.0,269.0,246.0,-0.0876,-0.0502,-0.0581,0.856,0.7759999999999999,0.7090000000000001,2.0,0.139,0.336,9.57,9.57,0.336,0.312,3.46,1.45,-5.51,30.3,0.0,22.6,1.68,10.7,24.3,0.489,1.59,3.51,0
11.0,104.0,8200.0,263.0,232.0,-0.0465,0.14400000000000002,0.163,0.7190000000000001,0.799,0.7,1.0,-0.007240000000000002,-0.007240000000000002,0.0,0.0,0.336,0.31,3.32,1.69,-4.51,6.07,11.9,11.1,0.0,10.3,17.8,0.54,1.51,2.38,0
11.0,107.0,7830.0,272.0,233.0,-0.15,-0.111,-0.122,0.828,0.7240000000000001,0.71,0.0,0.0,0.0,9.8,9.8,0.345,0.319,3.25,1.61,-4.31,18.2,5.32,11.1,-1.43,8.66,17.1,0.47,1.58,2.45,0
12.0,147.0,9510.0,274.0,259.0,0.0403,0.092,0.135,0.855,0.755,0.728,1.0,0.43799999999999994,0.43799999999999994,0.0,0.0,0.318,0.293,3.5,1.74,-6.18,31.2,0.0,22.8,0.0,7.64,19.9,0.521,1.56,4.23,0
15.0,62.4,8390.0,197.0,173.0,-0.0879,0.0353,0.0116,1.07,1.1,0.595,2.0,1.35,1.01,0.0,0.0,0.3,0.289,3.4,1.78,-2.98,38.1,13.8,12.5,1.01,3.88,9.68,0.423,1.6,1.57,0
15.0,51.6,7020.0,184.0,151.0,-0.0991,0.00656,0.00122,1.37,1.16,0.57,1.0,1.11,1.11,0.0,0.0,0.249,0.24100000000000002,3.53,1.99,-2.9,26.0,7.05,12.5,1.11,7.73,5.64,0.168,1.79,1.84,0
17.0,63.1,8600.0,202.0,155.0,-0.223,-0.0958,-0.122,1.21,1.05,0.579,4.0,4.88,1.33,0.0,0.0,0.23600000000000002,0.22699999999999998,3.75,2.13,-3.25,49.3,0.0,30.0,4.88,8.41,12.9,0.131,1.89,2.07,0
15.0,65.2,8020.0,209.0,174.0,-0.032,0.0394,0.0225,1.03,1.04,0.605,1.0,1.05,1.05,0.0,0.0,0.27899999999999997,0.266,3.5,1.66,-3.81,44.2,7.05,12.5,2.79,5.89,11.4,0.27699999999999997,1.74,2.58,0
19.0,104.0,11800.0,218.0,177.0,-0.0383,-0.0212,-0.0333,0.8290000000000001,1.03,0.619,3.0,2.43,0.977,9.51,9.51,0.28300000000000003,0.271,3.82,2.0,-1.44,32.0,7.05,29.6,1.9,7.74,15.3,0.449,1.59,1.78,0
19.0,99.6,11800.0,214.0,171.0,-0.00885,0.0028,-0.0128,0.825,1.03,0.619,3.0,2.59,1.01,0.0,0.0,0.28300000000000003,0.271,3.82,2.05,-2.47,25.0,7.11,29.6,2.18,7.74,15.3,0.45299999999999996,1.59,1.53,0
21.0,121.0,13300.0,213.0,180.0,-0.0233,0.0893,0.0839,0.8079999999999999,1.09,0.614,3.0,1.8,0.748,0.0,0.0,0.278,0.268,3.94,2.23,-2.9,12.1,14.2,29.6,1.2,7.74,15.3,0.498,1.52,1.88,0
15.0,72.0,8820.0,204.0,185.0,-0.0598,0.0043,-0.0158,0.9440000000000001,1.07,0.612,2.0,1.1,0.563,0.0,0.0,0.307,0.295,3.43,1.73,-2.81,32.2,20.3,17.3,0.0,3.77,9.7,0.48100000000000004,1.53,1.25,0
