,SpMax4_Bh(m),SpMin7_Bh(m),AVS_RG,TDB10r,Mor14s,G3e,score
0,3.11,0.318,2.67,0.0,-1.57,0.207,3
1,3.43,1.39,4.44,4.08,-6.43,0.162,3
2,3.23,1.21,3.46,4.14,0.974,0.363,3
3,3.0,0.921,3.52,4.27,-9.94,0.191,3
4,3.06,0.835,3.22,4.05,-12.0,0.182,3
5,3.02,0.8340000000000001,3.2,3.38,-10.5,0.192,3
6,3.43,1.18,3.76,4.83,-9.11,0.188,3
7,3.46,1.1,4.12,3.35,-17.4,0.183,3
8,3.12,0.927,3.29,2.43,-5.66,0.241,3
9,2.98,0.853,3.13,2.6,-5.41,0.575,3
10,3.03,0.847,3.19,4.33,-8.98,0.208,3
11,2.84,0.485,3.14,0.0,-1.34,1.0,3
12,3.0,0.843,3.15,3.37,-7.98,0.397,2
13,3.96,1.31,3.6,5.85,-13.2,0.14,2
14,3.03,0.836,3.21,4.32,-14.6,0.231,2
15,3.02,0.836,3.18,4.15,-11.5,0.1669999999999999,2
16,3.02,0.757,3.17,0.0,-2.4,0.7170000000000001,2
17,3.45,1.67,3.8,4.71,-9.13,0.1639999999999999,2
18,3.47,1.61,4.86,4.09,4.83,0.1639999999999999,2
19,3.53,1.56,4.03,5.17,-3.86,0.158,2
20,2.95,0.8420000000000001,3.12,2.73,-5.93,0.209,2
21,3.48,1.53,4.69,4.66,5.25,0.182,2
22,3.39,1.12,3.42,4.94,-5.44,0.1689999999999999,1
23,3.44,1.46,4.68,3.51,3.77,0.173,1
24,3.75,1.86,0.0,0.0,0.0,0.0,1
25,3.57,1.49,5.29,3.63,6.05,0.179,0
26,3.49,1.41,4.19,3.83,-0.665,0.177,0
27,3.49,1.58,4.85,3.48,5.28,0.148,0
28,3.19,1.58,4.59,2.17,0.887,0.176,0
29,3.31,1.22,4.21,2.44,-0.89,0.17,0
30,3.68,1.55,4.23,4.68,-9.1,0.1639999999999999,0
31,3.58,1.63,5.12,3.78,7.43,0.161,0
