,Unnamed: 0,nDB,nS,DBI,SIC4,VE1sign_Dz(e),AVS_B(e),MATS8m,MATS6v,MATS6e,MATS7e,MATS7s,GATS5m,GATS2v,GATS2s,SM12_AEA(ed),Eig01_AEA(dm),TDB07u,TDB10u,TDB06v,TDB04e,TDB06s,TDB06r,RDF120i,Mor17u,Mor09m,Mor26m,Mor07e,Mor14e,Mor11p,Mor17p,Mor12i,Mor16s,G3e,E3p,L2i,G3i,E1i,De,HATS3u,HATS4u,HATS4m,HATS7m,HATS2v,H8i,HATS3i,HATS4i,HATS7s,R3m+,R4m+,R7m+,R3p+,R3s+,nCp,C-001,CATS2D_01_LL,B01[C-O],B05[C-S],F01[C-O],F08[N-N],score
0,0,1.0,1.0,2.65,0.935,0.474,3.37,0.086,-0.307,-0.0069999999999999,-0.128,-0.131,1.81,0.8909999999999999,0.354,22.3,4.05,7.26,0.0,2.4,4.64,17.8,3.33,0.0,-0.309,-1.62,0.324,1.64,0.3779999999999999,0.209,-0.162,-0.757,1.57,0.207,0.417,2.96,0.207,0.613,0.449,0.6679999999999999,0.581,0.588,0.083,0.174,0.211,0.8370000000000001,0.6940000000000001,1.76,0.231,0.253,0.0279999999999999,0.073,0.578,1.0,1.0,4.0,1.0,0.0,2.0,0.0,3
1,1,5.0,0.0,4.3,0.927,0.036,3.6,-0.133,-0.138,-0.138,-0.04,-0.042,1.11,0.77,0.6409999999999999,25.9,4.39,6.45,9.5,2.18,4.17,28.1,2.92,3.04,-0.395,-0.7040000000000001,-0.635,2.74,0.708,0.1969999999999999,-0.302,-1.88,-2.3,0.162,0.289,3.69,0.159,0.516,0.488,0.238,0.368,0.186,0.153,0.075,0.65,0.301,0.487,2.91,0.032,0.051,0.02,0.017,0.765,1.0,1.0,5.0,1.0,0.0,9.0,0.0,3
2,2,4.0,1.0,3.0,0.8240000000000001,0.009,3.59,-0.261,-0.236,-0.0579999999999999,-0.546,-0.6509999999999999,0.944,0.551,0.721,23.1,4.6,7.45,10.3,2.62,3.9,14.3,3.44,3.41,-0.753,-0.755,-0.121,2.81,0.8420000000000001,0.069,-0.004,-0.433,-1.36,0.363,0.068,2.69,0.363,0.68,0.4429999999999999,0.228,0.647,0.045,0.022,0.064,0.093,0.2789999999999999,0.897,0.2739999999999999,0.023,0.015,0.006,0.016,0.085,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3
3,3,0.0,0.0,2.24,0.936,0.051,3.6,-0.165,0.053,0.021,-0.037,0.011,1.09,0.989,0.687,23.5,3.55,6.77,9.9,2.35,4.27,26.8,3.05,0.033,0.074,-1.4,-0.042,2.94,-0.765,0.251,0.182,-0.138,0.25,0.191,0.178,2.62,0.237,0.5660000000000001,0.4589999999999999,0.358,0.503,0.161,0.153,0.1009999999999999,0.148,0.4639999999999999,0.68,2.73,0.076,0.054,0.034,0.02,1.55,0.0,0.0,3.0,1.0,0.0,8.0,0.0,3
4,4,2.0,0.0,2.35,0.971,0.161,3.67,-0.216,-0.106,0.0,-0.034,0.0,1.01,0.856,0.716,23.9,3.78,6.88,10.0,3.01,4.66,40.4,3.76,1.61,0.826,-1.44,0.001,2.4,-1.7,0.22,0.506,1.41,0.8390000000000001,0.182,0.179,3.26,0.3229999999999999,0.593,0.457,0.374,0.504,0.163,0.2,0.109,0.2019999999999999,0.482,0.682,3.31,0.09,0.07,0.036,0.026,1.82,0.0,0.0,3.0,1.0,0.0,9.0,0.0,3
5,5,2.0,0.0,2.24,0.962,0.104,3.68,-0.141,-0.095,0.009,0.044,0.017,1.26,0.8809999999999999,0.67,23.8,3.76,6.84,9.6,2.9,4.61,36.3,3.61,1.06,0.539,-1.64,0.05,2.74,-1.5,0.346,0.3779999999999999,1.27,2.39,0.192,0.196,3.02,0.176,0.568,0.444,0.409,0.513,0.22,0.183,0.119,0.07,0.528,0.688,2.69,0.064,0.075,0.027,0.0279999999999999,1.52,0.0,0.0,2.0,1.0,0.0,8.0,0.0,3
6,6,3.0,0.0,3.24,0.972,0.049,3.62,-0.096,0.017,0.021,-0.071,-0.067,1.03,1.01,0.757,24.1,3.87,6.66,9.08,2.83,4.5,31.4,3.52,5.3,-0.006,-1.5,-0.4529999999999999,4.65,-0.67,0.123,0.089,-1.58,-4.26,0.188,0.143,6.61,0.179,0.562,0.426,0.341,0.355,0.166,0.148,0.106,0.214,0.45,0.476,1.96,0.053,0.059,0.023,0.02,1.08,0.0,0.0,6.0,1.0,0.0,14.0,0.0,3
7,7,2.0,0.0,3.0,0.945,0.237,3.61,-0.257,0.089,0.044,0.0409999999999999,0.075,1.01,0.942,0.789,24.2,3.8,6.26,7.64,2.97,4.41,29.5,3.61,3.7,0.079,-2.12,-0.347,3.7,-1.19,0.291,0.1369999999999999,0.46,-0.8320000000000001,0.183,0.173,5.46,0.193,0.4370000000000001,0.3829999999999999,0.2789999999999999,0.351,0.121,0.149,0.088,0.486,0.361,0.476,1.47,0.0579999999999999,0.036,0.015,0.016,1.18,1.0,1.0,2.0,1.0,0.0,15.0,0.0,3
8,8,2.0,0.0,2.24,0.923,0.2019999999999999,3.66,-0.221,0.013,0.034,-0.347,-0.374,1.29,0.802,0.6779999999999999,23.6,3.69,6.83,8.9,2.74,4.5,25.7,3.38,0.0,0.031,-0.917,-0.153,2.83,-0.7929999999999999,-0.073,0.168,0.23,0.81,0.241,0.086,4.28,0.231,0.555,0.396,0.252,0.316,0.146,0.124,0.098,0.179,0.318,0.408,2.4,0.0559999999999999,0.08,0.018,0.025,0.6679999999999999,0.0,0.0,6.0,1.0,0.0,7.0,0.0,3
9,9,2.0,0.0,1.87,0.943,0.158,3.7,-0.245,-0.098,-0.015,-0.231,-0.248,0.963,0.948,0.638,23.3,3.63,6.99,9.99,3.08,4.47,30.8,3.74,0.0,0.092,-0.961,-0.075,2.93,-0.7,0.11,0.183,-0.015,0.151,0.575,0.02,3.16,0.735,0.59,0.381,0.302,0.447,0.09,0.095,0.084,0.225,0.381,0.6,1.74,0.063,0.0279999999999999,0.019,0.025,1.29,0.0,0.0,8.0,1.0,0.0,5.0,0.0,3
