"SMILES","Eta_alpha","Eta_alpha_A","Eta_epsi","Eta_epsi_A","Eta_betaS","Eta_betaS_A","Eta_betaP","Eta_betaP_A","Eta_beta","Eta_beta_A","Eta_C","Eta_C_A","Eta_L","Eta_L_A","Eta_F","Eta_F_A","Eta_FL","Eta_FL_A","Eta_B","Eta_B_A","Eta_sh_p","Eta_sh_y","Eta_sh_x"
"COC1=C(C=O)C2=C(C(C)=C1)C(=O)OC1=C(O2)C2=C(C(=O)OC2O)C(O)=C1C","12.5","0.446","30.7","0.731","18.8","0.67","18.5","0.661","37.2","1.33","23.8","0.849","5.55","0.198","34.0","1.22","7.74","0.276","0.964","0.034","0.253","0.56","0.0"
"OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1","9.17","0.458","20.8","0.694","12.5","0.625","17.0","0.85","29.5","1.48","11.4","0.568","3.49","0.174","21.6","1.08","6.09","0.304","0.597","0.03","0.145","0.436","0.0"
"OC1=C(O)C(O)=C2C(=C1)C=CC=C(O)C2=O","7.17","0.448","17.4","0.726","9.75","0.609","12.0","0.75","21.8","1.36","9.1","0.569","2.88","0.18","16.3","1.02","4.64","0.29","0.566","0.035","0.233","0.488","0.0"
"CC(=O)OC1=CC2=C(C(=O)C(=CO2)C2=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C2)C(OC(C)=O)=C1OC(C)=O","18.2","0.443","46.0","0.731","26.8","0.652","27.5","0.671","54.2","1.32","39.4","0.96","7.79","0.19","59.0","1.44","11.4","0.278","1.5","0.037","0.294","0.468","0.0"
"CC(=O)OC1=C2C(=O)C3=C[C@@H]4CC5C(C)(C)OC(C\C=C(/C)C(O)=O)(C4=O)[C@@]35OC2=C(CC=C(C)C)C2=C1C=CC(C)(CCC=C(C)C)O2","23.0","0.469","55.0","0.579","30.2","0.617","20.0","0.408","50.2","1.03","77.6","1.58","13.9","0.283","53.8","1.1","9.02","0.184","2.06","0.042","0.268","0.348","0.087"
"OC1=CC2=C(C(O)=C1O)C(=O)C(=CO2)C1=CC(O)=C(O)C(O)=C1","10.2","0.442","25.2","0.765","14.8","0.641","18.5","0.804","33.2","1.45","14.4","0.624","3.96","0.172","27.8","1.21","6.85","0.298","0.865","0.038","0.23","0.541","0.0"
"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)C4=C(C=CC=C4O)[C@@]3(C)O)C(=O)[C@]2(O)C(O)=C(C(N)=O)C1=O","14.8","0.448","38.0","0.667","21.2","0.644","14.0","0.424","35.2","1.07","40.1","1.21","8.13","0.246","40.5","1.23","7.07","0.214","1.56","0.047","0.331","0.5","0.068"
"OC(=O)C1=CC(=O)C(O)=C2C(O)=C(O)C(O)=CC2=C1","8.33","0.439","21.1","0.78","11.8","0.618","14.0","0.737","25.8","1.36","11.9","0.626","3.38","0.178","21.5","1.13","5.45","0.287","0.762","0.04","0.28","0.54","0.0"
"OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1C1=C(O)C(O)=C(O)C=C1[C@H]1OC2=CC(O)=CC(O)=C2C[C@H]1OC(=O)C1=CC(O)=C(O)C(O)=C1","29.3","0.444","73.3","0.733","43.0","0.652","48.0","0.727","91.0","1.38","74.6","1.13","12.8","0.194","121.0","1.83","18.3","0.278","2.48","0.038","0.205","0.545","0.0"
"OC(=O)C1=CC(=O)C(O)=C2C(O)=C(O)C=CC2=C1","8.0","0.444","19.6","0.754","11.0","0.611","13.5","0.75","24.5","1.36","10.9","0.605","3.22","0.179","19.5","1.08","5.19","0.289","0.672","0.037","0.25","0.5","0.0"
"[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O","7.13","0.549","15.7","0.681","7.5","0.577","8.0","0.615","15.5","1.19","9.12","0.701","3.54","0.272","8.13","0.625","2.72","0.209","0.247","0.019","0.164","0.21","0.0"
"[Zn++].[O-]N1C=CC=CC1=S.[O-]N1C=CC=CC1=S","4.07","0.508","8.53","0.656","4.75","0.594","4.5","0.562","9.25","1.16","3.62","0.452","1.65","0.206","4.86","0.607","2.16","0.27","0.195","0.024","0.287","0.221","0.0"
"OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1","14.7","0.444","36.9","0.724","21.2","0.644","24.0","0.727","45.2","1.37","26.5","0.802","6.35","0.192","43.1","1.31","9.2","0.279","1.21","0.037","0.205","0.511","0.0"
"COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","10.3","0.449","25.1","0.716","14.8","0.641","17.5","0.761","32.2","1.4","15.1","0.657","4.15","0.181","26.3","1.14","6.76","0.294","0.754","0.033","0.21","0.484","0.0"
"OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=CC=C2)=C1","9.17","0.458","20.8","0.694","12.5","0.625","16.5","0.825","29.0","1.45","11.8","0.588","3.55","0.178","21.4","1.07","6.03","0.301","0.597","0.03","0.145","0.436","0.0"
"C1OC2=C(O1)C=C(O[C@@H]1OC[C@@H]3[C@H]1CO[C@H]3C1=CC3=C(OCO3)C=C1)C=C2","12.3","0.457","29.7","0.659","19.5","0.722","14.5","0.537","34.0","1.26","21.8","0.806","6.64","0.246","23.0","0.853","6.71","0.248","0.582","0.022","0.0","0.405","0.0"
"COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1","12.5","0.463","29.5","0.628","16.5","0.611","18.0","0.667","34.5","1.28","22.8","0.846","5.72","0.212","29.2","1.08","7.11","0.263","0.843","0.031","0.227","0.44","0.0"
"OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","9.5","0.452","22.3","0.719","13.2","0.631","17.0","0.81","30.2","1.44","12.7","0.603","3.7","0.176","23.2","1.11","6.26","0.298","0.703","0.033","0.175","0.474","0.0"
"CC1(C)CCC2=C3OC(C)(C)C=CC3=C3OC=C(C(=O)C3=C2O1)C1=CC(O)=C(O)C=C1","14.5","0.468","33.5","0.609","19.8","0.637","19.0","0.613","38.8","1.25","32.1","1.04","7.47","0.241","32.3","1.04","7.09","0.229","1.28","0.041","0.207","0.379","0.069"
"[Na+].[Cu].CCC1=C2[N-]C(\C=C3/[N-]\C(=C/C4=C(C)C(CCC(O)=O)=C([N-]4)C4=C5[N-]\C(=C/2)C(C)=C5C(=O)C4C(O)=O)C(C)=C3C=C)=C1C","20.3","0.471","45.7","0.594","27.2","0.634","26.0","0.605","53.2","1.24","53.6","1.25","10.1","0.235","52.4","1.22","10.4","0.241","1.47","0.034","0.23","0.518","0.0"
"COC(=O)C1=CC(=O)C(O)=C2C(O)=C(O)C=CC2=C1","8.5","0.447","20.9","0.721","11.8","0.618","13.5","0.711","25.2","1.33","12.1","0.636","3.53","0.186","20.5","1.08","5.42","0.285","0.634","0.033","0.255","0.471","0.0"
"CC(=O)NCCC1=CC(=C(O)C=C1)C1=C(O)C2=C(C(O)=C1O)C(=O)C1=CC(O)=C(C(O)=O)C(C(O)=O)=C1C2=O","17.4","0.446","42.6","0.734","24.5","0.628","28.0","0.718","52.5","1.35","34.9","0.894","7.44","0.191","58.9","1.51","10.8","0.278","1.49","0.038","0.259","0.546","0.0"
"CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C1CCCC2(C)C","10.5","0.477","23.7","0.564","13.5","0.614","10.5","0.477","24.0","1.09","22.9","1.04","6.45","0.293","16.5","0.752","3.97","0.18","0.842","0.038","0.206","0.429","0.048"
"CC1=CC(O)=CC2=C1C(=O)C1=C(O)C=C(O)C=C1O2","8.67","0.456","20.1","0.694","12.0","0.632","15.5","0.816","27.5","1.45","11.8","0.621","3.44","0.181","19.9","1.05","5.53","0.291","0.703","0.037","0.212","0.519","0.0"
"OC1=CC(\C=C\C2=CC(O)=C(O)C=C2)=CC(O)=C1","8.33","0.463","19.3","0.642","10.5","0.583","15.5","0.861","26.0","1.44","9.46","0.526","3.1","0.172","17.8","0.988","5.44","0.302","0.544","0.03","0.16","0.36","0.0"
"COC(=O)[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3CC=C3[C@@H]5CC(C)(C)CC(=O)[C@]5(C)CC[C@@]43C)[C@@]2(C)CO)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","30.5","0.455","84.1","0.58","43.2","0.646","4.0","0.06","47.2","0.705","149.0","2.22","24.1","0.36","54.3","0.811","7.16","0.107","2.84","0.042","0.268","0.361","0.098"
"COC1=C(O[C@@H]2O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]2O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","15.7","0.448","40.1","0.68","23.0","0.657","18.5","0.529","41.5","1.19","33.0","0.944","7.97","0.228","39.9","1.14","8.72","0.249","1.07","0.031","0.191","0.447","0.0"
"COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1","10.0","0.455","24.2","0.672","14.0","0.636","16.0","0.727","30.0","1.36","14.9","0.676","4.35","0.198","22.9","1.04","6.14","0.279","0.682","0.031","0.183","0.45","0.0"
"COC1=CC(O)=C(C(C)=O)C(OC)=C1","6.33","0.452","16.5","0.633","8.5","0.607","9.0","0.643","17.5","1.25","8.56","0.611","2.72","0.194","12.0","0.861","3.88","0.277","0.404","0.029","0.342","0.395","0.0"
"CC(=O)OC1=CC=C(C=C1)C1=C(OC(C)=O)C(=O)C2=C(O1)C=C(OC(C)=O)C=C2OC(C)=O","14.8","0.449","36.2","0.709","21.2","0.644","23.0","0.697","44.2","1.34","27.3","0.827","6.24","0.189","42.0","1.27","9.3","0.282","1.13","0.034","0.247","0.438","0.0"
"OC1=CC=C(CCNC(=O)\C=C\C2=CC=C(O)C=C2)C=C1","9.9","0.471","22.5","0.592","12.2","0.583","16.0","0.762","28.2","1.35","12.6","0.599","4.18","0.199","19.3","0.919","5.95","0.284","0.455","0.022","0.101","0.253","0.0"
"CC1(C)CCC[C@]2(C)C(CC=C3CCOC3=O)[C@]3(CO3)CCC12","11.0","0.478","27.4","0.517","14.2","0.62","3.0","0.13","17.2","0.75","33.0","1.43","8.82","0.384","7.83","0.34","2.05","0.089","0.884","0.038","0.167","0.182","0.136"
"OC1=CC(O)=C2C(OC3=CC(O)=C(O)C=C3C2=O)=C1","8.5","0.447","20.3","0.752","12.2","0.645","16.0","0.842","28.2","1.49","10.7","0.561","3.24","0.171","20.9","1.1","5.72","0.301","0.703","0.037","0.196","0.529","0.0"
"COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O","14.1","0.472","32.1","0.654","20.0","0.667","20.5","0.683","40.5","1.35","23.3","0.778","6.37","0.212","32.5","1.08","8.07","0.269","0.818","0.027","0.161","0.389","0.0"
"CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1","14.8","0.477","33.2","0.615","20.5","0.661","24.0","0.774","44.5","1.43","24.9","0.804","6.0","0.194","35.8","1.15","8.63","0.278","1.13","0.036","0.207","0.358","0.056"
"O[C@@H](CC(O)=O)C(O)=O.COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC","17.2","0.464","39.2","0.643","24.2","0.655","27.5","0.743","51.8","1.4","29.0","0.783","7.46","0.202","44.2","1.2","10.4","0.282","0.932","0.025","0.114","0.321","0.029"
"CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1","15.0","0.453","36.6","0.763","21.8","0.659","22.5","0.682","44.2","1.34","25.0","0.758","6.19","0.188","40.5","1.23","9.37","0.284","1.11","0.034","0.202","0.334","0.033"
"OP(O)(O)=O.CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3","11.3","0.472","25.3","0.602","15.5","0.646","15.5","0.646","31.0","1.29","18.4","0.768","5.37","0.224","22.9","0.955","6.3","0.263","0.589","0.025","0.099","0.398","0.0"
"CCN1CCN(CC2=CN=C(NC3=NC=C(F)C(=N3)C3=CC4=C(N=C(C)N4C(C)C)C(F)=C3)C=C2)CC1","17.3","0.467","40.9","0.593","25.8","0.696","20.5","0.554","46.2","1.25","36.6","0.99","8.87","0.24","38.0","1.03","8.95","0.242","1.03","0.028","0.149","0.388","0.0"
"COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC","17.2","0.464","39.2","0.643","24.2","0.655","27.5","0.743","51.8","1.4","29.0","0.783","7.46","0.202","44.2","1.2","10.4","0.282","0.932","0.025","0.114","0.321","0.029"
"COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","9.67","0.46","22.1","0.671","13.2","0.631","17.0","0.81","30.2","1.44","12.6","0.598","3.78","0.18","22.2","1.06","6.31","0.301","0.575","0.027","0.155","0.414","0.0"
"[Na].OC(CC1=CC(O)=C(O)C=C1)C(O)=O","6.17","0.44","16.6","0.693","8.25","0.589","8.5","0.607","16.8","1.2","8.27","0.591","2.88","0.206","11.8","0.842","3.62","0.258","0.497","0.036","0.27","0.405","0.0"
"OC[C@H]1O[C@@H](OC2=CC=C(CO)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","8.83","0.442","24.8","0.652","12.8","0.637","6.5","0.325","19.2","0.962","17.3","0.863","5.39","0.27","15.6","0.778","4.17","0.208","0.524","0.026","0.189","0.396","0.0"
"CCCC=C1OC(=O)C2=C1CC[C@@H](O)[C@@H]2O","7.33","0.458","19.1","0.596","9.75","0.609","4.5","0.281","14.2","0.891","14.6","0.91","5.07","0.317","9.29","0.581","2.58","0.161","0.439","0.027","0.205","0.409","0.0"
"C[C@@H]1C(=O)O[C@H]2C[C@]34[C@H]5CC(C(C)(C)C)C33[C@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O","13.0","0.448","34.4","0.649","20.2","0.698","4.5","0.155","24.8","0.853","43.2","1.49","9.63","0.332","21.8","0.752","3.78","0.13","1.53","0.053","0.282","0.346","0.192"
"C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC(O)=C(O)C=C3)O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@H]2OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","23.3","0.44","64.9","0.669","35.0","0.66","17.0","0.321","52.0","0.981","70.7","1.33","14.2","0.268","63.0","1.19","10.9","0.206","1.73","0.033","0.193","0.407","0.021"
"CN1C2=C(NC=N2)C(=O)N(C)C1=O","5.77","0.444","14.6","0.697","10.0","0.769","7.5","0.577","17.5","1.35","7.05","0.542","2.43","0.187","11.3","0.872","3.7","0.285","0.46","0.035","0.289","0.486","0.0"
"CC12CC(O)C3CC1(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3(COC(=O)C1=CC=CC=C1)C(=O)O2","15.2","0.446","40.6","0.655","22.8","0.669","9.0","0.265","31.8","0.934","42.7","1.25","10.0","0.295","31.1","0.913","6.07","0.179","1.25","0.037","0.187","0.33","0.099"
"CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","20.1","0.467","47.1","0.596","26.5","0.616","23.0","0.535","49.5","1.15","50.2","1.17","10.1","0.234","49.4","1.15","10.3","0.239","1.4","0.033","0.249","0.448","0.0"
"O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H]1O","19.3","0.45","47.9","0.694","27.8","0.645","26.5","0.616","54.2","1.26","40.5","0.943","9.17","0.213","56.6","1.32","11.3","0.264","1.33","0.031","0.155","0.44","0.0"
"CC(C)=CC\C=C(\C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C","20.3","0.473","53.5","0.519","25.8","0.599","2.0","0.047","27.8","0.645","88.3","2.05","16.7","0.388","18.3","0.426","3.34","0.078","1.82","0.042","0.279","0.32","0.098"
"COC1=C(OC)C2=C[N+]3=C(C=C2C=C1)C1=CC2=C(OCO2)C=C1CC3","11.7","0.469","26.4","0.613","17.2","0.69","17.0","0.68","34.2","1.37","19.0","0.76","5.39","0.216","24.1","0.965","6.89","0.276","0.564","0.023","0.085","0.418","0.0"
"C[C@H]1CC[C@@]2(O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@H]1C3","7.83","0.49","19.8","0.471","9.25","0.578","0.0","0.0","9.25","0.578","25.3","1.58","7.09","0.443","1.48","0.092","0.235","0.015","0.844","0.053","0.298","0.191","0.191"
"O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC=C(O)C=C1","9.17","0.458","22.0","0.648","12.5","0.625","14.0","0.7","26.5","1.33","13.7","0.687","4.24","0.212","18.8","0.94","5.31","0.265","0.63","0.032","0.145","0.436","0.0"
"CCC1CN2CC[C@]3(C2CC1C(=COC)C(=O)OC)C(=O)NC1=CC=CC=C31","13.1","0.469","31.9","0.569","18.2","0.652","11.0","0.393","29.2","1.04","31.2","1.11","8.08","0.289","23.3","0.831","5.48","0.196","0.697","0.025","0.165","0.335","0.038"
"C[C@]1(O)CC(O)[C@]2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12","10.8","0.433","32.4","0.661","16.8","0.67","1.0","0.04","17.8","0.71","31.5","1.26","8.09","0.324","17.6","0.704","3.52","0.141","1.06","0.042","0.262","0.369","0.092"
"CC(C)=CCC1=C(O)C(CC=C(C)C)=C2OC3=C(O)C=CC(O)=C3C(=O)C2=C1O","13.5","0.466","32.1","0.606","17.2","0.595","18.0","0.621","35.2","1.22","28.9","0.997","6.68","0.23","31.1","1.07","6.95","0.24","1.04","0.036","0.272","0.481","0.0"
"CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C1CCCC2(C)C","10.5","0.477","23.7","0.564","13.5","0.614","10.5","0.477","24.0","1.09","22.9","1.04","6.45","0.293","16.5","0.752","3.97","0.18","0.842","0.038","0.206","0.429","0.048"
"CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O","16.0","0.485","39.8","0.491","19.2","0.583","2.5","0.076","21.8","0.659","66.7","2.02","13.6","0.412","10.2","0.308","1.65","0.05","1.59","0.048","0.281","0.25","0.156"
"COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC","13.2","0.454","33.0","0.648","19.2","0.664","18.5","0.638","37.8","1.3","24.2","0.835","5.72","0.197","33.8","1.16","8.32","0.287","0.637","0.022","0.253","0.418","0.0"
"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O","10.2","0.484","24.6","0.503","12.5","0.595","2.5","0.119","15.0","0.714","30.4","1.45","8.53","0.406","6.1","0.29","1.42","0.068","0.809","0.039","0.164","0.295","0.098"
"C[N+]1=CC=CC(=C1)C([O-])=O","4.57","0.457","11.3","0.63","6.25","0.625","6.5","0.65","12.8","1.27","4.55","0.455","1.85","0.184","7.47","0.747","2.85","0.285","0.302","0.03","0.255","0.307","0.0"
"C\C(\C=C\C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(/C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O","30.0","0.441","85.2","0.645","43.5","0.64","13.5","0.199","57.0","0.838","99.8","1.47","19.5","0.287","76.0","1.12","12.6","0.185","2.15","0.032","0.244","0.433","0.0"
"COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=C[C@@]2(O)CO","12.2","0.435","35.2","0.678","18.8","0.67","4.0","0.143","22.8","0.812","32.4","1.15","8.32","0.297","23.8","0.85","4.94","0.177","0.905","0.032","0.233","0.411","0.041"
"CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C","25.0","0.463","68.0","0.548","33.5","0.62","2.0","0.037","35.5","0.657","115.0","2.13","20.3","0.375","31.6","0.585","5.01","0.093","2.17","0.04","0.267","0.36","0.08"
"CCCCCCCCCCCCCCCCC(C(O)=O)C(O)(CC(O)=O)C(O)=O","13.3","0.46","37.7","0.546","15.8","0.543","4.5","0.155","20.2","0.698","38.1","1.31","10.9","0.376","15.7","0.542","2.86","0.099","0.662","0.023","0.212","0.15","0.037"
"COC1=C(O)C(O)=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","10.0","0.455","23.6","0.694","14.0","0.636","17.5","0.795","31.5","1.43","13.6","0.62","3.94","0.179","24.4","1.11","6.58","0.299","0.648","0.029","0.183","0.45","0.0"
"O[C@@H]1[C@@H](O)[C@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O","14.2","0.443","36.2","0.725","21.0","0.656","18.5","0.578","39.5","1.23","27.7","0.866","6.93","0.217","38.4","1.2","8.25","0.258","1.07","0.034","0.188","0.494","0.0"
"CC[C@@]1(O)C[C@H](O)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(O)C=CC(O)=C1C3=O","14.0","0.452","34.6","0.678","19.5","0.629","18.0","0.581","37.5","1.21","31.2","1.0","7.26","0.234","37.7","1.22","7.31","0.236","1.19","0.038","0.262","0.5","0.036"
"COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC=C1N(=O)=O)C(=O)OCC(C)C","12.8","0.457","32.2","0.619","17.2","0.616","15.0","0.536","32.2","1.15","28.1","1.0","6.61","0.236","29.8","1.07","6.57","0.235","0.902","0.032","0.299","0.422","0.0"
"OC1=CC(O)=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O","8.67","0.456","19.5","0.723","11.8","0.618","16.5","0.868","28.2","1.49","10.8","0.567","3.26","0.172","21.5","1.13","5.76","0.303","0.652","0.034","0.192","0.519","0.0"
"CC1CCCC2(C)CC3OC(=O)C(=C)C3C=C12","8.17","0.48","19.4","0.525","10.2","0.603","4.0","0.235","14.2","0.838","19.2","1.13","6.04","0.355","7.66","0.451","1.97","0.116","0.661","0.039","0.224","0.367","0.061"
"[Na+].CC1=C(C=CC(=C1)C1=CC(C)=C(C=C1)\N=N\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S(O)(=O)=O)S(O)(=O)=O)\N=N\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S(O)(=O)=O)S(O)(=O)=O","27.4","0.472","63.2","0.735","36.5","0.629","51.0","0.879","87.5","1.51","54.0","0.932","10.3","0.177","98.9","1.71","16.5","0.285","2.65","0.046","0.236","0.365","0.122"
"[Ca++].NC1=NC2=C(N(C=O)C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)CN2)C(=O)N1","15.1","0.445","38.9","0.682","23.2","0.684","17.0","0.5","40.2","1.18","29.3","0.861","7.57","0.223","38.5","1.13","8.62","0.254","0.983","0.029","0.181","0.39","0.0"
"OC1=C2N=CC=CC2=C(C=C1)N(=O)=O","6.3","0.45","14.7","0.735","9.0","0.643","13.5","0.964","22.5","1.61","5.86","0.419","2.11","0.151","13.8","0.985","4.59","0.328","0.388","0.028","0.159","0.381","0.0"
"ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O","6.52","0.544","12.7","1.06","7.5","0.625","6.0","0.5","13.5","1.12","9.28","0.774","2.76","0.23","8.25","0.688","2.71","0.226","0.536","0.045","0.54","0.46","0.0"
"OC[C@H]1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(C=C(C=C2O)C(O)=O)C3[C@@H]2C3=C(C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC=C3)C(=O)C3=C2C=C(C=C3O)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","27.7","0.446","70.1","0.701","40.5","0.653","32.0","0.516","72.5","1.17","80.8","1.3","14.8","0.238","99.2","1.6","14.7","0.237","2.12","0.034","0.193","0.542","0.0"
"CCOC1=CC=C(C=C1)C(=O)C1=C(O)C(O)=C(OC)C=C1","9.67","0.46","23.3","0.631","12.8","0.607","15.5","0.738","28.2","1.35","13.6","0.65","4.16","0.198","21.4","1.02","5.92","0.282","0.507","0.024","0.207","0.362","0.0"
"COC1=CC=CC(O)=C1O","4.5","0.45","11.7","0.65","6.0","0.6","7.5","0.75","13.5","1.35","4.41","0.441","1.76","0.176","7.71","0.771","3.0","0.3","0.247","0.025","0.259","0.333","0.0"
"OC1=C(Br)C=C(Br)C2=C1N=CC=C2","7.9","0.608","11.9","0.661","7.75","0.596","10.5","0.808","18.2","1.4","10.1","0.78","3.02","0.232","7.66","0.589","3.18","0.244","0.388","0.03","0.38","0.316","0.0"
"COC(C)(C)\C=C\C[C@H](C)[C@@H]1CC[C@]2(C)[C@H]3[C@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)C=C4[C@H](CC[C@@H](O)C4(C)C)[C@]3(CC[C@@]12C)C=O","21.5","0.467","57.1","0.539","28.0","0.609","3.5","0.076","31.5","0.685","92.6","2.01","17.1","0.371","28.2","0.613","4.36","0.095","1.91","0.041","0.279","0.279","0.116"
"CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","14.3","0.494","36.1","0.457","16.2","0.56","0.0","0.0","16.2","0.56","56.1","1.93","13.4","0.461","1.5","0.052","0.282","0.01","1.09","0.038","0.233","0.314","0.07"
