"SMILES","Ro5","cRo5","DLS_01","DLS_02","DLS_03","DLS_04","DLS_05","DLS_06","DLS_07","DLS_cons","LLS_01","LLS_02","CMC-80","CMC-50","Inflammat-80","Inflammat-50","Depressant-80","Depressant-50","Psychotic-80","Psychotic-50","Hypertens-80","Hypertens-50","Hypnotic-80","Hypnotic-50","Neoplastic-80","Neoplastic-50","Infective-80","Infective-50"
"COC1=C(C=O)C2=C(C(C)=C1)C(=O)OC1=C(O2)C2=C(C(=O)OC2O)C(O)=C1C","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.5","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0"
"OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.67","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0"
"OC1=C(O)C(O)=C2C(=C1)C=CC=C(O)C2=O","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"CC(=O)OC1=CC2=C(C(=O)C(=CO2)C2=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C2)C(OC(C)=O)=C1OC(C)=O","1.0","0.0","0.5","0.5","0.5","0.4","0.5","0.33","0.0","0.39","0.33","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CC(=O)OC1=C2C(=O)C3=C[C@@H]4CC5C(C)(C)OC(C\C=C(/C)C(O)=O)(C4=O)[C@@]35OC2=C(CC=C(C)C)C2=C1C=CC(C)(CCC=C(C)C)O2","1.0","0.0","0.5","0.33","0.67","0.9","1.0","0.83","1.0","0.75","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC1=CC2=C(C(O)=C1O)C(=O)C(=CO2)C1=CC(O)=C(O)C(O)=C1","0.0","1.0","0.75","0.83","0.83","0.2","0.0","0.67","0.5","0.54","0.33","0.88","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)C4=C(C=CC=C4O)[C@@]3(C)O)C(=O)[C@]2(O)C(O)=C(C(N)=O)C1=O","1.0","0.0","0.5","0.33","0.67","0.7","1.0","0.5","0.5","0.6","0.33","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC(=O)C1=CC(=O)C(O)=C2C(O)=C(O)C(O)=CC2=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1C1=C(O)C(O)=C(O)C=C1[C@H]1OC2=CC(O)=CC(O)=C2C[C@H]1OC(=O)C1=CC(O)=C(O)C(O)=C1","1.0","0.0","0.25","0.17","0.33","0.2","0.0","0.33","0.5","0.25","0.17","0.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC(=O)C1=CC(=O)C(O)=C2C(O)=C(O)C=CC2=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"[Zn++].[O-]N1C=CC=CC1=S.[O-]N1C=CC=CC1=S","0.0","1.0","1.0","0.67","0.83","0.6","0.0","1.0","1.0","0.73","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1","1.0","0.0","0.5","0.5","0.67","0.3","0.0","0.5","0.5","0.42","0.17","0.75","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.33","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=CC=C2)=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.67","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0"
"C1OC2=C(O1)C=C(O[C@@H]1OC[C@@H]3[C@H]1CO[C@H]3C1=CC3=C(OCO3)C=C1)C=C2","0.0","1.0","1.0","0.83","1.0","0.8","0.5","1.0","1.0","0.88","0.5","0.88","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0"
"COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1","0.0","1.0","1.0","1.0","1.0","0.6","0.5","1.0","1.0","0.87","0.33","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.5","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
