Uc,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,PDI,BLTF96,BLTD48,BLTA96,score
2.81,2.0,-0.202,56.0,15.3,15.3,2.1,4.41,2.08,4.32,254.0,21.1,18.0,248.0,105.0,175.0,0.976,-3.17,-3.31,-3.33,0
3.0,2.32,0.679,52.3,41.1,41.1,2.35,5.54,2.28,5.18,261.0,61.2,36.0,242.0,103.0,174.0,0.928,-3.39,-3.56,-3.58,0
3.46,2.59,-0.6459999999999999,46.3,39.9,39.9,1.34,1.79,1.49,2.23,209.0,44.2,0.0,200.0,85.4,132.0,0.957,-2.53,-2.59,-2.57,0
3.17,2.59,-0.807,46.7,30.2,30.2,2.57,6.6,2.39,5.69,205.0,36.1,0.0,200.0,85.3,150.0,0.973,-3.57,-3.76,-3.8,0
3.0,2.32,-0.763,74.1,29.5,29.5,3.18,10.1,3.64,13.2,397.0,39.3,0.0,356.0,149.0,261.0,0.8959999999999999,-4.1,-4.34,-4.41,0
4.32,3.46,0.899,129.0,125.0,125.0,2.27,5.14,2.38,5.66,609.0,185.0,78.7,578.0,240.0,416.0,0.95,-3.32,-3.47,-3.5,0
4.46,3.81,-0.302,104.0,115.0,115.0,2.95,8.7,3.43,11.8,494.0,165.0,42.7,461.0,192.0,345.0,0.934,-3.9,-4.12,-4.18,0
3.0,2.46,-0.557,49.3,61.8,61.8,0.736,0.542,-0.1,0.01,241.0,73.3,0.0,226.0,96.2,162.0,0.94,-2.02,-2.02,-1.97,0
3.91,3.17,0.341,70.4,70.7,70.7,2.55,6.51,2.6,6.77,313.0,122.0,85.4,297.0,125.0,223.0,0.947,-3.56,-3.74,-3.78,0
4.17,3.25,-0.901,96.1,12.5,12.5,4.29,18.4,4.53,20.6,436.0,14.1,0.0,425.0,177.0,301.0,0.974,-5.04,-5.4,-5.52,0
