Uc,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,PDI,BLTF96,BLTD48,BLTA96,score
4.0,3.32,0.318,93.5,136.0,136.0,1.27,1.61,2.71,7.34,450.0,205.0,85.4,414.0,173.0,321.0,0.92,-2.47,-2.53,-2.5,3
3.91,3.17,1.1,72.1,90.9,90.9,1.76,3.11,2.33,5.45,335.0,164.0,128.0,307.0,129.0,232.0,0.915,-2.89,-3.0,-2.99,3
3.32,2.81,2.2,57.9,98.0,98.0,0.8490000000000001,0.721,0.975,0.95,292.0,196.0,171.0,245.0,104.0,191.0,0.8390000000000001,-2.11,-2.13,-2.08,3
4.39,3.91,-0.654,133.0,188.0,188.0,1.76,3.09,1.47,2.17,699.0,253.0,0.0,632.0,263.0,503.0,0.904,-2.88,-2.99,-2.99,3
4.0,3.7,-0.454,188.0,125.0,125.0,4.24,17.9,6.8,46.3,922.0,187.0,42.7,848.0,351.0,663.0,0.919,-4.99,-5.34,-5.46,3
3.91,3.17,3.67,75.9,152.0,152.0,-0.515,0.266,1.26,1.59,399.0,292.0,256.0,336.0,141.0,258.0,0.841,-0.95,-0.83,-0.71,3
3.59,3.17,4.96,114.0,202.0,202.0,-2.11,4.45,-2.26,5.11,638.0,368.0,289.0,525.0,218.0,409.0,0.823,0.4,0.68,0.88,3
3.59,3.17,2.99,63.8,135.0,135.0,-0.258,0.066,0.389,0.152,341.0,264.0,213.0,281.0,119.0,224.0,0.825,-1.17,-1.08,-0.97,3
5.28,4.39,10.8,217.0,395.0,395.0,-4.71,22.2,5.48,30.0,1140.0,777.0,683.0,975.0,403.0,746.0,0.856,2.61,3.15,3.48,3
3.59,3.17,2.11,62.1,115.0,115.0,0.502,0.252,0.657,0.4320000000000001,319.0,221.0,171.0,271.0,115.0,215.0,0.85,-1.82,-1.8,-1.73,3
3.0,2.32,-0.127,0.0,37.3,62.6,2.62,6.86,0.0,0.0,0.0,67.8,42.7,294.0,124.0,0.0,0.0,-3.62,-3.81,-3.85,3
2.0,2.0,0.079,37.9,25.2,57.2,0.667,0.445,0.219,0.048,173.0,42.8,42.8,149.0,64.5,113.0,0.86,-1.96,-1.95,-1.9,3
