nAtom,nH,nC,ATS5d,ATS2se,ATS3se,ATS4se,ATS5se,ATS6se,ATS2pe,ATS4pe,ATS5pe,ATS6pe,ATS2are,ATS6are,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS0i,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,ATS8i,AATS0dv,AATS1dv,AATS2dv,AATS3dv,AATS4dv,AATS0s,AATS1s,AATS2s,AATS4s,AATS3Z,AATS1v,AATS2v,AATS3v,AATS4se,AATS0pe,AATS4pe,AATS4are,ATSC0v,ATSC1pe,ATSC1are,ATSC0i,ATSC1i,MATS1s,MATS1se,MATS1pe,MATS1are,MATS1p,GATS2dv,GATS1v,GATS1p,nBonds,nBondsS,nBondsKS,C2SP3,HybRatio,FCSP3,Xch-6dv,Si,Mv,Mse,Mpe,NssCH2,NdsCH,NsOH,SssCH2,SsOH,MAXssCH2,MAXsOH,MINsOH,SIC0,SIC1,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-12,MDEC-22,MDEC-23,AMID_h,MID_C,AMID_C,bpol,SLogP,JGI5,score
26.0,13.0,10.0,110.0,368.0,482.0,428.0,386.0,311.0,301.0,339.0,304.0,243.0,295.0,236.0,73.9,84.5,77.2,67.1,45.8,19.4,4260.0,4010.0,7620.0,10500.0,9300.0,8390.0,6950.0,4360.0,1460.0,4.83,4.97,3.47,2.24,1.52,2.14,2.5,2.27,1.8,16.9,256.0,208.0,167.0,7.39,6.02,5.85,5.69,1390.0,0.0646,0.0508,38.0,-9.6,0.0631,-0.0334,0.0295,0.0288,-0.0496,1.28,0.9740000000000001,0.963,27.0,21.0,24.0,0.0,0.4,0.4,0.0837,29.4,0.62,0.995,0.955,4.0,0.0,0.0,4.18,0.0,1.05,0.0,0.0,0.318,0.607,0.305,3.2,1.85,-2.91,12.1,31.1,0.0,4.17,0.0,4.18,0.0,9.65,6.87,0.461,20.5,1.57,15.8,1.75,0.0167,0
21.0,8.0,8.0,65.0,266.0,318.0,279.0,218.0,179.0,221.0,226.0,176.0,145.0,214.0,140.0,58.2,64.2,46.9,36.2,31.3,24.1,3440.0,3170.0,5210.0,6290.0,5650.0,4460.0,3540.0,3330.0,1870.0,7.68,7.39,5.81,3.84,3.43,4.77,3.37,3.5,3.39,33.1,282.0,245.0,218.0,8.2,6.72,6.65,6.46,1060.0,-0.37,-0.385,30.7,-4.04,-0.0819,-0.136,-0.124,-0.149,0.027000000000000003,0.893,0.76,0.701,21.0,14.0,17.0,0.0,0.125,0.125,0.0241,23.8,0.6940000000000001,1.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436,0.78,0.413,2.48,0.965,-3.62,18.2,12.4,0.0,5.86,0.0,0.0,0.565,1.65,6.45,0.6990000000000001,16.2,1.24,11.1,2.74,0.0316,0
21.0,9.0,8.0,60.0,291.0,290.0,307.0,203.0,167.0,241.0,249.0,164.0,132.0,239.0,131.0,52.1,51.8,42.8,29.9,23.1,14.5,3500.0,3360.0,5850.0,5940.0,6730.0,4350.0,3640.0,2460.0,1720.0,8.76,8.41,6.97,5.57,3.92,3.38,3.5,3.15,2.89,20.0,256.0,215.0,199.0,7.87,6.44,6.39,6.36,978.0,0.589,0.648,34.4,-0.509,0.11,0.174,0.217,0.222,-0.171,1.05,1.01,1.2,22.0,12.0,18.0,0.0,0.25,0.25,0.0694,24.0,0.639,1.02,0.985,1.0,0.0,0.0,0.445,0.0,0.445,0.0,0.0,0.379,0.701,0.354,2.73,1.31,-1.63,12.1,7.11,0.0,7.9,0.0,0.445,1.04,4.51,5.09,0.682,16.3,1.36,12.5,1.04,0.0284,0
20.0,8.0,10.0,61.0,264.0,310.0,296.0,202.0,141.0,219.0,236.0,161.0,111.0,215.0,111.0,58.1,61.0,48.2,31.2,15.7,6.46,3120.0,2950.0,4990.0,6000.0,6170.0,4280.0,3050.0,1350.0,556.0,9.1,8.67,7.47,5.25,3.26,5.22,3.5,3.8,2.92,19.4,289.0,251.0,217.0,7.58,6.37,6.06,5.97,1000.0,0.048,0.0204,27.4,-1.39,-0.0729,-0.0134,0.0182,0.00716,-0.0368,0.741,0.86,0.973,21.0,9.0,16.0,0.0,0.1,0.1,0.0411,22.1,0.68,1.01,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.6759999999999999,0.29,2.96,1.4,-3.23,25.1,0.0,5.56,0.9670000000000001,0.0,2.0,1.67,4.04,10.2,0.316,20.6,1.71,10.6,2.1,0.0185,0
38.0,20.0,14.0,254.0,516.0,586.0,683.0,824.0,933.0,417.0,555.0,663.0,738.0,409.0,726.0,94.2,109.0,127.0,144.0,138.0,103.0,6220.0,5550.0,10700.0,12100.0,14000.0,17000.0,19900.0,19900.0,11300.0,5.46,5.15,4.0,3.71,3.23,3.45,2.77,2.5,2.76,19.5,244.0,190.0,195.0,7.67,6.07,6.23,6.12,1990.0,0.203,0.175,50.2,-13.2,-0.0162,0.00145,0.0483,0.0439,-0.12,1.06,1.15,1.19,38.0,31.0,34.0,2.0,0.5,0.5,0.0241,43.0,0.597,0.9990000000000001,0.9570000000000001,4.0,0.0,0.0,1.94,0.0,0.8740000000000001,0.0,0.0,0.289,0.574,0.281,3.73,2.24,-4.37,24.0,24.6,25.0,0.0,1.75,4.39,5.12,6.41,11.8,0.418,27.6,1.53,24.9,2.99,0.0268,0
60.0,26.0,23.0,402.0,857.0,1080.0,1130.0,1110.0,1010.0,710.0,919.0,904.0,820.0,700.0,810.0,165.0,188.0,183.0,179.0,170.0,175.0,9930.0,9470.0,17200.0,22400.0,23500.0,23600.0,21200.0,19900.0,23300.0,7.99,7.56,6.12,4.7,4.42,4.12,3.24,3.1,3.24,20.2,263.0,220.0,191.0,7.92,6.43,6.47,6.4,2900.0,-0.384,-0.58,94.2,-29.8,-0.0543,-0.105,-0.0486,-0.0716,-0.0771,0.9329999999999999,0.966,1.08,63.0,44.0,53.0,3.0,0.348,0.348,0.168,68.2,0.643,1.02,0.9840000000000001,6.0,0.0,1.0,3.14,9.7,0.945,9.7,9.7,0.293,0.691,0.27899999999999997,4.18,1.83,-6.37,36.6,30.5,34.6,16.2,6.55,1.32,1.42,12.6,23.1,0.639,47.8,1.41,36.6,2.43,0.0234,0
44.0,15.0,21.0,296.0,569.0,675.0,717.0,726.0,783.0,477.0,597.0,605.0,646.0,470.0,639.0,118.0,131.0,129.0,135.0,136.0,118.0,7000.0,6660.0,10600.0,12800.0,13600.0,13800.0,15300.0,15200.0,12300.0,11.1,10.3,9.37,8.33,8.52,6.07,4.19,4.4,4.67,24.2,290.0,258.0,238.0,8.24,6.73,6.86,6.79,1970.0,-0.38,-0.5529999999999999,68.9,-11.8,-0.0899,-0.0987,-0.0559,-0.0733,-0.0867,0.818,0.86,1.05,46.0,25.0,34.0,0.0,0.05,0.0476,0.0722,49.0,0.703,1.03,1.01,0.0,1.0,1.0,0.0,9.43,0.0,9.43,9.43,0.304,0.67,0.282,3.8,1.8,-4.26,18.2,7.11,11.1,18.6,2.36,0.0,1.5,12.9,22.2,0.527,43.6,1.5,24.0,4.0,0.0153,0
24.0,10.0,8.0,92.0,354.0,376.0,485.0,337.0,289.0,295.0,400.0,274.0,224.0,294.0,222.0,59.5,69.3,63.6,47.2,32.2,10.9,4080.0,3890.0,7430.0,7140.0,9850.0,7090.0,6620.0,4440.0,0.0,10.3,9.8,8.93,7.67,4.88,6.5,3.7,3.62,5.47,26.3,245.0,214.0,232.0,8.5,6.71,7.02,7.03,1040.0,-0.0342,-0.21,38.0,-36.4,-0.0542,-0.1,-0.00872,-0.0488,-0.41200000000000003,0.715,1.14,1.5,25.0,13.0,21.0,0.0,0.375,0.375,0.0687,27.7,0.632,1.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.636,0.3670000000000001,2.8,1.67,-0.519,0.0,0.0,0.0,0.0,1.52,0.0,0.877,0.0,1.52,0.8490000000000001,15.9,1.14,18.0,-1.03,0.0348,0
29.0,10.0,15.0,160.0,379.0,506.0,499.0,430.0,343.0,319.0,412.0,351.0,279.0,312.0,275.0,89.2,97.1,84.6,72.8,61.7,50.3,4490.0,4390.0,6830.0,9500.0,9450.0,8290.0,6800.0,5530.0,4900.0,10.6,9.94,9.25,7.94,7.98,6.71,4.04,4.09,5.61,23.1,302.0,283.0,233.0,8.18,6.66,6.75,6.69,1350.0,-0.629,-0.701,39.8,5.58,-0.177,-0.129,-0.134,-0.135,0.133,0.727,0.716,0.789,31.0,13.0,23.0,0.0,0.0,0.0,0.0676,31.9,0.7090000000000001,1.03,1.0,0.0,0.0,2.0,0.0,19.1,0.0,9.67,9.44,0.29100000000000004,0.56,0.268,3.44,2.14,-3.77,0.0,0.0,0.0,19.2,0.0,0.0,0.0,8.31,16.7,0.391,31.6,1.66,12.6,2.87,0.0354,0
46.0,23.0,21.0,277.0,617.0,786.0,891.0,892.0,896.0,504.0,711.0,708.0,700.0,494.0,691.0,131.0,154.0,154.0,148.0,131.0,111.0,7310.0,6860.0,12500.0,16200.0,19100.0,19300.0,20200.0,14800.0,12100.0,5.48,5.58,4.28,3.29,2.4,2.45,2.77,2.49,2.19,15.6,264.0,221.0,193.0,7.37,5.85,5.87,5.78,2480.0,0.313,0.275,65.3,-8.17,-0.0192,0.059000000000000004,0.10400000000000001,0.0948,-0.0431,1.23,1.0,1.08,48.0,31.0,40.0,2.0,0.23800000000000002,0.23800000000000002,0.0839,51.3,0.624,0.983,0.943,2.0,0.0,0.0,1.66,0.0,0.9590000000000001,0.0,0.0,0.22699999999999998,0.496,0.21600000000000005,4.27,2.78,-5.47,31.1,20.7,18.0,2.4,0.9590000000000001,0.7,4.61,19.9,19.2,0.177,43.0,1.87,26.5,4.91,0.0133,0
