nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
13.0,67.1,7620.0,208.0,167.0,0.0631,0.0295,0.0288,1.28,0.9740000000000001,0.62,4.0,4.18,1.05,0.0,0.0,0.318,0.305,3.2,1.85,-2.91,12.1,31.1,0.0,0.0,9.65,6.87,0.461,1.57,1.75,0
8.0,36.2,5210.0,245.0,218.0,-0.0819,-0.124,-0.149,0.893,0.76,0.6940000000000001,0.0,0.0,0.0,0.0,0.0,0.436,0.413,2.48,0.965,-3.62,18.2,12.4,0.0,0.0,1.65,6.45,0.6990000000000001,1.24,2.74,0
9.0,29.9,5850.0,215.0,199.0,0.11,0.217,0.222,1.05,1.01,0.639,1.0,0.445,0.445,0.0,0.0,0.379,0.354,2.73,1.31,-1.63,12.1,7.11,0.0,0.0,4.51,5.09,0.682,1.36,1.04,0
8.0,31.2,4990.0,251.0,217.0,-0.0729,0.0182,0.00716,0.741,0.86,0.68,0.0,0.0,0.0,0.0,0.0,0.315,0.29,2.96,1.4,-3.23,25.1,0.0,5.56,0.0,4.04,10.2,0.316,1.71,2.1,0
20.0,144.0,10700.0,190.0,195.0,-0.0162,0.0483,0.0439,1.06,1.15,0.597,4.0,1.94,0.8740000000000001,0.0,0.0,0.289,0.281,3.73,2.24,-4.37,24.0,24.6,25.0,1.75,6.41,11.8,0.418,1.53,2.99,0
26.0,179.0,17200.0,220.0,191.0,-0.0543,-0.0486,-0.0716,0.9329999999999999,0.966,0.643,6.0,3.14,0.945,9.7,9.7,0.293,0.27899999999999997,4.18,1.83,-6.37,36.6,30.5,34.6,6.55,12.6,23.1,0.639,1.41,2.43,0
15.0,135.0,10600.0,258.0,238.0,-0.0899,-0.0559,-0.0733,0.818,0.86,0.703,0.0,0.0,0.0,9.43,9.43,0.304,0.282,3.8,1.8,-4.26,18.2,7.11,11.1,2.36,12.9,22.2,0.527,1.5,4.0,0
10.0,47.2,7430.0,214.0,232.0,-0.0542,-0.00872,-0.0488,0.715,1.14,0.632,0.0,0.0,0.0,0.0,0.0,0.389,0.3670000000000001,2.8,1.67,-0.519,0.0,0.0,0.0,1.52,0.0,1.52,0.8490000000000001,1.14,-1.03,0
10.0,72.8,6830.0,283.0,233.0,-0.177,-0.134,-0.135,0.727,0.716,0.7090000000000001,0.0,0.0,0.0,9.67,9.44,0.29100000000000004,0.268,3.44,2.14,-3.77,0.0,0.0,0.0,0.0,8.31,16.7,0.391,1.66,2.87,0
23.0,148.0,12500.0,221.0,193.0,-0.0192,0.10400000000000001,0.0948,1.23,1.0,0.624,2.0,1.66,0.9590000000000001,0.0,0.0,0.22699999999999998,0.21600000000000005,4.27,2.78,-5.47,31.1,20.7,18.0,0.9590000000000001,19.9,19.2,0.177,1.87,4.91,0
