nH,MATS1s,GATS1v,Mv,NssCH2,SssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,MDEC-22,MDEC-23,AMID_h,SLogP,score
10,-0.057,0.713,0.721,1,1.28,8.88,8.88,0.387,0.368,2.77,1.2,-2.7,0,0,17.3,4.11,6.16,0.567,2.91,3
24,-0.192,0.838,0.639,0,0,11.5,10.3,0.282,0.27,4.19,1.74,-0.547,32.6,14.1,18.1,2.38,9.08,0.598,-1.4,3
18,-0.144,0.96,0.64,0,0,0,0,0.279,0.263,3.78,2.21,-5.09,24.3,33.1,0,4.47,13.9,0.412,2.5,3
14,-0.282,0.723,0.661,1,0.064,10.2,9.36,0.293,0.278,3.65,1.91,-0.955,12.1,0,17.2,2.6,17,0.577,1.25,3
10,-0.318,0.579,0.71,0,0,9.99,9.29,0.304,0.283,3.51,2.21,-2.05,18.2,0,0,1.65,13.4,0.63,1.69,3
10,-0.286,0.614,0.71,0,0,9.98,9.27,0.303,0.281,3.48,2.13,-2.49,12.1,0,0,2.52,15.5,0.579,1.99,3
18,-0.228,0.777,0.675,0,0,10.3,9.13,0.272,0.258,4.11,1.93,-1.16,0,0,0,7.48,17.9,0.634,0.142,3
20,-0.274,0.776,0.66,0,0,10.3,9.63,0.27,0.257,4.18,2.16,-0.888,19.1,0,6.92,1.46,16.1,0.67,0.194,3
12,-0.17,0.787,0.692,0,0,9.84,9.79,0.287,0.267,3.59,1.87,-4.04,0,7.11,0,6.96,15.2,0.445,2.88,3
10,-0.176,0.716,0.709,0,0,9.77,9.46,0.291,0.268,3.44,2.14,-3.77,12.1,0,0,8.36,16.4,0.39,2.87,3
10,-0.287,0.614,0.71,0,0,9.69,9.32,0.303,0.281,3.48,2.13,-2.49,12.1,0,0,2.6,17,0.577,1.99,3
11,-0.171,0.911,0.632,1,0.0488,9.03,9.03,0.334,0.315,3.05,1.02,-2.63,18.2,7.11,5.56,3.62,10.4,0.437,1.67,3
10,-0.215,0.682,0.709,0,0,9.71,9.43,0.297,0.274,3.45,2.08,-3.34,0,0,0,7.48,15,0.458,2.58,2
24,-0.328,0.748,0.71,0,0,9.72,9.72,0.294,0.273,4.33,2.99,-8.38,47.5,11.5,0,21.5,39.5,0.572,8.15,2
10,-0.318,0.579,0.71,0,0,9.99,9.33,0.304,0.283,3.51,2.21,-2.05,12.1,0,0,1.46,14.3,0.629,1.69,2
10,-0.286,0.614,0.71,0,0,9.98,9.29,0.303,0.281,3.48,2.13,-2.49,18.2,0,0,2.6,15.9,0.578,1.99,2
10,-0.0823,0.769,0.678,0,0,0,0,0.326,0.3,3.13,1.29,-4.13,25.1,0,5.69,3.58,12.3,0.391,2.32,2
24,-0.0657,1.03,0.656,1,0.0805,0,0,0.255,0.243,4.4,2.71,-4.47,12.1,0,51.8,3.94,22.7,0.573,3,2
41,-0.0282,1.15,0.592,5,3.39,0,0,0.22,0.214,4.9,2.94,-7.34,63,13.7,67.2,10,24.8,0.357,5.65,2
28,-0.0786,0.981,0.644,1,0.432,0,0,0.233,0.222,4.59,2.5,-7.39,63.6,7.11,45.7,6.14,25.1,0.388,5.3,2
10,-0.176,0.716,0.709,0,0,9.95,9.43,0.291,0.268,3.44,2.14,-3.77,12.1,0,0,7.93,16.8,0.39,2.87,2
31,-0.0536,1.08,0.6,5,3.8,0,0,0.234,0.226,4.53,2.49,-6.1,63.1,6.61,53.4,9.99,22.6,0.319,4.83,2
16,-0.215,0.797,0.668,1,-0.206,9.43,9.19,0.28,0.265,3.88,2.05,-1.27,41.5,0,11.1,8.26,20.3,0.547,1.76,1
31,-0.136,1.02,0.601,6,6.07,11.5,11.5,0.206,0.199,4.65,2.86,-5.8,58.9,13.1,73.4,19.9,29.8,0.15,4.84,1
74,-0.124,1.21,0.577,7,3.1,12.7,10.5,0.19,0.187,5.75,3.94,-4.1,62.8,27.9,93.9,14.5,47.3,0.438,6.03,1
40,-0.108,1.21,0.563,8,10.2,0,0,0.191,0.186,4.93,3.23,-5.76,43.4,20.6,57.9,20.5,21.8,0.154,5.83,0
29,-0.00759,1.09,0.606,8,6.68,0,0,0.259,0.25,4.34,2.72,-6.02,61.7,39.3,36.8,25.5,23,0.402,4.22,0
39,-0.00406,1.13,0.592,10,9.66,0,0,0.214,0.208,4.86,3.04,-7.11,88.5,19.7,72.6,19,27.1,0.289,6.35,0
32,0.0292,1.16,0.596,2,1.76,0,0,0.226,0.22,4.61,3.35,-6.71,47.9,42.7,25,1.77,17.3,0.382,4.78,0
22,0.0811,0.942,0.633,5,6.08,0,0,0.222,0.21,4.27,2.47,-4.97,43,13.1,29.7,22.6,21.2,0.194,4.07,0
32,-0.0725,0.945,0.651,1,0.158,0,0,0.242,0.231,4.7,2.52,-9.06,74.7,7.11,31.9,13,34.5,0.413,6.3,0
43,0.0124,1.07,0.601,11,11.3,0,0,0.205,0.199,5.05,3.26,-7.11,112,27.5,89.3,19.6,33.6,0.255,6.49,0
