nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
10,58.9,5260,274,247,-0.057,-0.101,-0.0646,0.58,0.713,0.721,1,1.28,1.28,8.88,8.88,0.387,0.368,2.77,1.2,-2.7,0,0,17.3,0,4.11,6.16,0.567,1.39,2.91,3
24,273,15800,254,235,-0.192,-0.206,-0.209,0.687,0.838,0.639,0,0,0,11.5,10.3,0.282,0.27,4.19,1.74,-0.547,32.6,14.1,18.1,-1.87,2.38,9.08,0.598,1.41,-1.4,3
18,122,10700,233,233,-0.144,0.141,0.126,1.12,0.96,0.64,0,0,0,0,0,0.279,0.263,3.78,2.21,-5.09,24.3,33.1,0,0,4.47,13.9,0.412,1.64,2.5,3
14,102,8910,263,213,-0.282,-0.275,-0.275,0.816,0.723,0.661,1,0.064,0.064,10.2,9.36,0.293,0.278,3.65,1.91,-0.955,12.1,0,17.2,-1.92,2.6,17,0.577,1.45,1.25,3
10,89.1,7440,299,253,-0.318,-0.333,-0.326,0.572,0.579,0.71,0,0,0,9.99,9.29,0.304,0.283,3.51,2.21,-2.05,18.2,0,0,0,1.65,13.4,0.63,1.39,1.69,3
10,85.1,7290,295,248,-0.286,-0.288,-0.282,0.641,0.614,0.71,0,0,0,9.98,9.27,0.303,0.281,3.48,2.13,-2.49,12.1,0,0,0,2.52,15.5,0.579,1.45,1.99,3
18,148,12900,259,212,-0.228,-0.213,-0.218,0.783,0.777,0.675,0,0,0,10.3,9.13,0.272,0.258,4.11,1.93,-1.16,0,0,0,-9.56,7.48,17.9,0.634,1.4,0.142,3
20,161,13700,255,213,-0.274,-0.255,-0.26,0.745,0.776,0.66,0,0,0,10.3,9.63,0.27,0.257,4.18,2.16,-0.888,19.1,0,6.92,-7.59,1.46,16.1,0.67,1.35,0.194,3
12,93.9,8060,267,243,-0.17,-0.113,-0.12,0.75,0.787,0.692,0,0,0,9.84,9.79,0.287,0.267,3.59,1.87,-4.04,0,7.11,0,0,6.96,15.2,0.445,1.6,2.88,3
10,73.3,6830,283,234,-0.176,-0.134,-0.135,0.672,0.716,0.709,0,0,0,9.77,9.46,0.291,0.268,3.44,2.14,-3.77,12.1,0,0,0,8.36,16.4,0.39,1.66,2.87,3
10,82.2,7290,295,246,-0.287,-0.288,-0.282,0.69,0.614,0.71,0,0,0,9.69,9.32,0.303,0.281,3.48,2.13,-2.49,12.1,0,0,0,2.6,17,0.577,1.45,1.99,3
11,44.7,6300,229,209,-0.171,-0.0929,-0.109,1.12,0.911,0.632,1,0.0488,0.0488,9.03,9.03,0.334,0.315,3.05,1.02,-2.63,18.2,7.11,5.56,1.81,3.62,10.4,0.437,1.59,1.67,3
10,76.8,6980,287,240,-0.215,-0.19,-0.188,0.646,0.682,0.709,0,0,0,9.71,9.43,0.297,0.274,3.45,2.08,-3.34,0,0,0,0,7.48,15,0.458,1.58,2.58,2
24,253,17500,282,245,-0.328,-0.0678,-0.109,0.636,0.748,0.71,0,0,0,9.72,9.72,0.294,0.273,4.33,2.99,-8.38,47.5,11.5,0,0,21.5,39.5,0.572,1.48,8.15,2
10,87.9,7440,299,252,-0.318,-0.333,-0.326,0.616,0.579,0.71,0,0,0,9.99,9.33,0.304,0.283,3.51,2.21,-2.05,12.1,0,0,0,1.46,14.3,0.629,1.39,1.69,2
10,84.2,7290,295,247,-0.286,-0.288,-0.282,0.637,0.614,0.71,0,0,0,9.98,9.29,0.303,0.281,3.48,2.13,-2.49,18.2,0,0,0,2.6,15.9,0.578,1.45,1.99,2
10,59.5,6680,259,224,-0.0823,-0.08,-0.096,0.811,0.769,0.678,0,0,0,0,0,0.326,0.3,3.13,1.29,-4.13,25.1,0,5.69,1.91,3.58,12.3,0.391,1.69,2.32,2
