nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
18.0,137.0,12200.0,227.0,175.0,0.165,0.102,0.0948,0.772,0.946,0.644,5.0,5.41,1.26,0.0,0.0,0.271,0.255,3.9,1.67,-3.99,24.8,0.0,38.1,12.7,12.4,18.3,0.53,1.55,3.47,3
20.0,175.0,13200.0,250.0,216.0,-0.128,-0.107,-0.11599999999999999,0.813,0.838,0.6629999999999999,3.0,1.73,0.72,10.6,10.3,0.29,0.275,3.96,1.83,-4.68,32.1,20.1,17.9,-0.16899999999999998,7.69,25.0,0.469,1.58,3.3,3
22.0,142.0,13100.0,237.0,199.0,-0.126,0.0318,0.0291,1.05,0.88,0.647,2.0,1.23,0.782,0.0,0.0,0.258,0.243,4.17,2.04,-6.49,42.7,6.61,11.3,4.35,16.1,22.7,0.3670000000000001,1.7,3.88,3
26.0,196.0,17100.0,222.0,197.0,-0.0707,-0.0427,-0.0643,1.02,0.94,0.645,6.0,4.29,0.877,9.13,9.13,0.303,0.29,4.1,1.98,-6.12,25.5,54.9,21.1,1.53,9.33,16.3,0.667,1.37,3.31,3
29.0,222.0,18900.0,221.0,210.0,0.0801,0.0245,0.0088,1.1,0.98,0.6459999999999999,7.0,6.83,1.1,0.0,0.0,0.281,0.26899999999999996,4.33,2.38,-8.0,25.6,65.9,12.0,2.44,14.0,23.7,0.545,1.49,5.19,3
13.0,118.0,9730.0,279.0,241.0,-0.226,-0.126,-0.14400000000000002,0.631,0.7290000000000001,0.703,0.0,0.0,0.0,9.22,9.22,0.374,0.34600000000000003,3.31,1.68,-4.98,41.5,5.73,0.0,1.44,7.94,21.5,0.627,1.38,2.63,3
23.0,224.0,15200.0,255.0,226.0,-0.08900000000000001,-0.0641,-0.0809,0.769,0.812,0.672,3.0,2.23,0.805,0.0,0.0,0.281,0.265,4.17,2.07,-5.74,18.6,5.75,17.5,4.67,16.0,32.1,0.45799999999999996,1.56,3.72,2
18.0,99.8,9880.0,210.0,176.0,-0.0384,0.147,0.162,0.938,1.09,0.603,1.0,0.797,0.797,0.0,0.0,0.27399999999999997,0.262,3.72,2.14,-2.56,5.56,0.0,38.8,2.62,8.36,8.13,0.35200000000000004,1.64,2.99,2
21.0,193.0,15100.0,243.0,221.0,-0.0141,0.0684,0.0597,0.9179999999999999,0.879,0.6759999999999999,4.0,1.74,0.622,0.0,0.0,0.295,0.278,4.02,2.0,-5.19,40.0,25.1,21.6,0.622,14.1,23.7,0.522,1.56,3.12,2
22.0,178.0,15200.0,235.0,209.0,-0.0165,0.0808,0.0675,0.929,0.9470000000000001,0.6559999999999999,4.0,1.86,0.6629999999999999,0.0,0.0,0.275,0.259,4.13,2.09,-4.26,24.1,25.1,21.6,2.6,16.7,23.2,0.48,1.61,2.35,2
26.0,196.0,18000.0,223.0,188.0,-0.0882,0.0591,0.0274,0.764,1.03,0.635,8.0,3.39,0.619,0.0,0.0,0.294,0.28,4.14,2.1,-3.53,37.3,36.6,28.9,3.74,14.3,22.5,0.627,1.44,1.13,2
