"SMILES","Eta_alpha","Eta_alpha_A","Eta_epsi","Eta_epsi_A","Eta_betaS","Eta_betaS_A","Eta_betaP","Eta_betaP_A","Eta_beta","Eta_beta_A","Eta_C","Eta_C_A","Eta_L","Eta_L_A","Eta_F","Eta_F_A","Eta_FL","Eta_FL_A","Eta_B","Eta_B_A","Eta_sh_p","Eta_sh_y","Eta_sh_x"
"[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O","7.13","0.549","15.7","0.681","7.5","0.577","8.0","0.615","15.5","1.19","9.12","0.701","3.54","0.272","8.13","0.625","2.72","0.209","0.247","0.019","0.164","0.21","0.0"
"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)C4=C(O)C=CC=C4[C@@]3(C)O)C(=O)[C@]2(O)C(O)=C(C(N)=O)C1=O","14.8","0.448","38.0","0.667","21.2","0.644","14.0","0.424","35.2","1.07","40.1","1.21","8.13","0.246","40.5","1.23","7.07","0.214","1.56","0.047","0.331","0.5","0.068"
"[Cl-].CN(C)C1=CC2=C(C=C1)N=C1C=CC(C=C1S2)=[N+](C)C","10.0","0.502","20.9","0.549","13.0","0.65","13.5","0.675","26.5","1.33","15.1","0.754","4.24","0.212","17.2","0.858","5.3","0.265","0.63","0.032","0.199","0.379","0.0"
"O[C@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC(O)=C(O)C(O)=C1","9.83","0.447","25.0","0.694","14.0","0.636","15.0","0.682","29.0","1.32","15.9","0.723","4.55","0.207","22.8","1.04","5.82","0.264","0.809","0.037","0.203","0.508","0.0"
"OC1=CC(O)=C(O)C2=C1C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1","10.2","0.442","25.2","0.765","14.8","0.641","18.0","0.783","32.8","1.42","14.8","0.644","4.02","0.175","27.6","1.2","6.79","0.295","0.865","0.038","0.23","0.541","0.0"
"OC1=CC(O)=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","9.83","0.447","23.8","0.743","14.0","0.636","17.5","0.795","31.5","1.43","13.7","0.625","3.86","0.175","25.4","1.16","6.52","0.296","0.792","0.036","0.203","0.508","0.0"
"O[C@@H]1[C@@H](O)[C@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O","14.2","0.443","36.2","0.725","21.0","0.656","18.5","0.578","39.5","1.23","27.7","0.866","6.93","0.217","38.4","1.2","8.25","0.258","1.07","0.034","0.188","0.494","0.0"
"C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O","14.5","0.439","38.3","0.723","21.8","0.659","18.0","0.545","39.8","1.21","31.4","0.951","7.39","0.224","40.5","1.23","8.1","0.245","1.27","0.038","0.241","0.552","0.0"
"COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1","9.67","0.46","22.1","0.671","13.2","0.631","17.0","0.81","30.2","1.44","12.8","0.611","3.78","0.18","22.6","1.08","6.33","0.301","0.559","0.027","0.155","0.414","0.0"
"OC1=C(O)C2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1","8.83","0.465","19.4","0.668","11.8","0.618","16.5","0.868","28.2","1.49","10.4","0.548","3.34","0.176","19.6","1.03","5.83","0.307","0.507","0.027","0.113","0.396","0.0"
"OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C(O)=C1","9.83","0.447","23.8","0.743","14.0","0.636","18.0","0.818","32.0","1.46","13.2","0.602","3.8","0.173","25.5","1.16","6.57","0.299","0.809","0.037","0.203","0.508","0.0"
"COC1=CC2=C(NC=C2CO)C=C1","6.07","0.467","14.3","0.597","8.25","0.635","8.5","0.654","16.8","1.29","7.25","0.557","2.73","0.21","9.6","0.739","3.62","0.278","0.239","0.018","0.137","0.33","0.0"
"OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1","9.17","0.458","20.8","0.694","12.5","0.625","17.0","0.85","29.5","1.48","11.4","0.568","3.49","0.174","21.6","1.08","6.09","0.304","0.597","0.03","0.145","0.436","0.0"
"[Na+].[Na+].NC1=C(C=C(C2=CC=CC=C12)S([O-])(=O)=O)\N=N\C1=CC=C(C=C1)C1=CC=C(C=C1)\N=N\C1=C(N)C2=CC=CC=C2C(=C1)S([O-])(=O)=O","22.1","0.48","46.9","0.67","28.5","0.62","44.0","0.957","72.5","1.58","34.3","0.746","7.91","0.172","67.6","1.47","14.0","0.304","1.53","0.033","0.127","0.317","0.076"
"OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1","10.2","0.442","25.2","0.765","14.8","0.641","18.0","0.783","32.8","1.42","14.8","0.642","4.01","0.175","27.5","1.2","6.78","0.295","0.881","0.038","0.23","0.541","0.0"
"OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1","9.83","0.447","23.8","0.743","14.0","0.636","17.5","0.795","31.5","1.43","13.7","0.622","3.86","0.175","25.3","1.15","6.52","0.296","0.792","0.036","0.203","0.508","0.0"
"Cl.CC1=C2NC3=CC(=O)C=CC3=C2C=CN1","7.13","0.476","15.1","0.603","9.75","0.65","10.5","0.7","20.2","1.35","9.15","0.61","3.14","0.209","11.8","0.785","4.11","0.274","0.418","0.028","0.117","0.421","0.0"
"CC(=O)O[C@H]1CC2=C(O[C@@H]1C1=CC(OC(C)=O)=C(OC(C)=O)C=C1)C=C(OC(C)=O)C=C2OC(C)=O","16.2","0.449","40.8","0.681","23.2","0.646","22.0","0.611","45.2","1.26","34.7","0.963","7.54","0.209","43.8","1.22","9.38","0.261","1.25","0.035","0.258","0.433","0.0"
"COC(=O)C(NC(=O)CCC1C(CCC(C)C1(C)COC1=C2OC(=O)C=CC2=CC=C1)=C(C)C)C(C)C","17.4","0.47","43.2","0.554","22.2","0.601","14.0","0.378","36.2","0.98","51.3","1.38","11.0","0.298","30.6","0.827","6.46","0.174","1.2","0.032","0.259","0.345","0.029"
"COC1=C(C=CC2=C1C=CC(C)(C)O2)C1=COC2=C(C=C3CC(OC(C)=O)C(C)(C)OC3=C2)C1=O","16.3","0.467","38.3","0.607","22.5","0.643","20.0","0.571","42.5","1.21","37.3","1.07","8.36","0.239","37.4","1.07","8.13","0.232","1.36","0.039","0.224","0.367","0.061"
"OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C1=CC=CC=C1","8.83","0.465","19.4","0.668","11.8","0.618","16.0","0.842","27.8","1.46","10.7","0.566","3.4","0.179","19.3","1.02","5.77","0.304","0.507","0.027","0.113","0.396","0.0"
"C[C@H]1CCC([C@H](CCC(N)=O)[C@@]1(C)COC1=CC=C2C=CC(=O)OC2=C1)=C(C)C","13.7","0.474","33.1","0.551","17.2","0.595","12.5","0.431","29.8","1.03","35.5","1.22","8.44","0.291","21.6","0.744","5.26","0.181","0.97","0.033","0.223","0.328","0.036"
