"SMILES","Uc","Ui","Hy","AMR","TPSA(NO)","TPSA(Tot)","MLOGP","MLOGP2","ALOGP","ALOGP2","SAtot","SAacc","SAdon","Vx","VvdwMG","VvdwZAZ","PDI","BLTF96","BLTD48","BLTA96"
"[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O","3.0","2.32","-0.127","0.0","37.3","62.6","2.62","6.86","0.0","0.0","0.0","67.8","42.7","294.0","124.0","0.0","0.0","-3.62","-3.81","-3.85"
"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)C4=C(O)C=CC=C4[C@@]3(C)O)C(=O)[C@]2(O)C(O)=C(C(N)=O)C1=O","3.59","3.17","4.96","114.0","202.0","202.0","-2.11","4.45","-2.26","5.11","638.0","368.0","289.0","525.0","218.0","409.0","0.823","0.4","0.68","0.88"
"[Cl-].CN(C)C1=CC2=C(C=C1)N=C1C=CC(C=C1S2)=[N+](C)C","3.46","3.0","-0.787","89.0","19.1","47.4","2.25","5.05","1.18","1.4","370.0","19.9","0.0","369.0","155.0","272.0","0.996","-3.3","-3.46","-3.48"
"O[C@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC(O)=C(O)C(O)=C1","3.7","2.81","3.7","74.5","131.0","131.0","-0.513","0.263","1.65","2.73","413.0","267.0","256.0","340.0","143.0","255.0","0.824","-0.95","-0.83","-0.72"
"OC1=CC(O)=C(O)C2=C1C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1","3.91","3.17","3.67","77.1","152.0","152.0","-0.515","0.266","1.24","1.53","399.0","292.0","256.0","336.0","141.0","258.0","0.841","-0.95","-0.83","-0.71"
"OC1=CC(O)=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","3.91","3.17","2.78","75.4","131.0","131.0","0.233","0.054","1.5","2.26","378.0","250.0","213.0","326.0","137.0","250.0","0.863","-1.59","-1.54","-1.46"
"O[C@@H]1[C@@H](O)[C@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O","4.0","3.32","3.26","105.0","187.0","187.0","-0.545","0.297","0.639","0.408","575.0","339.0","256.0","480.0","200.0","374.0","0.835","-0.93","-0.8","-0.68"
"C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O","3.91","3.17","4.99","108.0","211.0","211.0","-2.0","3.99","0.034","0.001","615.0","400.0","341.0","497.0","207.0","385.0","0.808","0.31","0.58","0.77"
"COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1","3.91","3.17","0.331","76.9","79.9","79.9","2.01","4.05","2.59","6.68","355.0","133.0","85.4","330.0","139.0","249.0","0.93","-3.1","-3.23","-3.24"
"OC1=C(O)C2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1","3.91","3.17","0.341","70.4","70.7","70.7","2.04","4.16","2.6","6.77","313.0","122.0","85.4","297.0","125.0","223.0","0.947","-3.12","-3.26","-3.27"
"OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C(O)=C1","3.91","3.17","2.78","75.5","131.0","131.0","0.233","0.054","1.8","3.24","378.0","250.0","213.0","326.0","137.0","250.0","0.863","-1.59","-1.54","-1.46"
"COC1=CC2=C(NC=C2CO)C=C1","3.46","2.59","0.53","50.4","45.2","45.2","1.01","1.01","1.5","2.26","238.0","53.7","59.5","224.0","95.0","153.0","0.94","-2.25","-2.28","-2.24"
"OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1","3.91","3.17","1.1","72.1","90.9","90.9","1.76","3.11","2.33","5.45","335.0","164.0","128.0","307.0","129.0","232.0","0.915","-2.89","-3.0","-2.99"
